iter	Passed	Remaining
762	2190	680
763	2191	676
764	2193	673
765	2194	670
766	2195	667
767	2197	663
768	2200	661
769	2202	657
770	2203	654
771	2205	651
772	2206	648
773	2208	644
774	2209	641
775	2211	638
776	2213	635
777	2215	632
778	2216	628
779	2218	625
780	2220	622
781	2222	619
782	2223	616
783	2226	613
784	2230	610
785	2231	607
786	2233	604
787	2235	601
788	2237	598
789	2239	595
790	2241	592
791	2243	589
792	2245	586
793	2246	582
794	2248	579
795	2250	576
796	2251	573
797	2253	570
798	2255	567
799	2259	564
800	2261	561
801	2263	558
802	2265	555
803	2267	552
804	2269	549
805	2272	546
806	2275	544
807	2278	541
808	2280	538
809	2281	535
810	2283	532
811	2285	529
812	2290	526
813	2292	523
814	2293	520
815	2295	517
816	2297	514
817	2298	511
818	2300	508
819	2302	505
820	2304	502
821	2306	499
822	2307	496
823	2310	493
824	2312	490
825	2314	487
826	2316	484
827	2318	481
828	2320	478
829	2322	475
830	2324	472
831	2326	469
832	2327	466
833	2330	463
834	2334	461
835	2337	458
836	2339	455
837	2341	452
838	2343	449
839	2346	446
840	2349	444
841	2353	441
842	2355	438
843	2356	435
844	2358	432
845	2360	429
846	2363	426
847	2365	423
848	2367	421
849	2368	418
850	2371	415
851	2373	412
852	2375	409
853	2378	406
854	2380	403
855	2382	400
856	2383	397
857	2385	394
858	2387	391
859	2389	388
860	2394	386
861	2396	383
862	2398	380
863	2400	377
864	2402	374
865	2404	372
866	2408	369
867	2410	366
868	2413	363
869	2416	361
870	2418	358
871	2423	355
872	2425	352
873	2427	349
874	2429	347
875	2430	344
876	2432	341
877	2439	338
878	2441	336
879	2444	333
880	2446	330
881	2448	327
882	2452	325
883	2455	322
884	2456	319
885	2458	316
886	2461	313
887	2463	310
888	2465	307
889	2468	305
890	2471	302
891	2473	299
892	2475	296
893	2477	293
894	2479	290
895	2483	288
896	2485	285
897	2487	282
898	2489	279
899	2492	276
900	2494	274
901	2497	271
902	2499	268
903	2501	265
904	2503	262
905	2507	260
906	2509	257
907	2511	254
908	2514	251
909	2516	248
910	2518	245
911	2519	243
912	2521	240
913	2523	237
914	2528	234
915	2531	232
916	2533	229
917	2535	226
918	2537	223
919	2539	220
920	2542	218
921	2544	215
922	2546	212
923	2548	209
924	2550	206
925	2553	204
926	2555	201
927	2558	198
928	2560	195
929	2562	192
930	2564	190
931	2566	187
932	2568	184
933	2570	181
934	2572	178
935	2575	176
936	2577	173
937	2579	170
938	2581	167
939	2583	164
940	2587	162
941	2589	159
942	2591	156
943	2593	153
944	2595	151
945	2597	148
946	2599	145
947	2601	142
948	2603	139
949	2606	137
950	2607	134
951	2609	131
952	2611	128
953	2613	126
954	2616	123
955	2618	120
956	2620	117
957	2622	114
958	2623	112
959	2625	109
960	2627	106
961	2628	103
962	2631	101
963	2633	98
964	2634	95
965	2636	92
966	2637	90
967	2639	87
968	2641	84
969	2643	81
970	2645	78
971	2647	76
972	2649	73
973	2650	70
974	2652	68
975	2653	65
976	2655	62
977	2657	59
978	2659	57
979	2662	54
980	2663	51
981	2665	48
982	2667	46
983	2669	43
984	2671	40
985	2673	37
986	2675	35
987	2677	32
988	2679	29
989	2681	27
990	2682	24
991	2684	21
992	2685	18
993	2688	16
994	2692	13
995	2694	10
996	2696	8
997	2698	5
998	2700	2
999	2701	0
